id:,114700014
name:,Dyson V12 Detect Slim Absolute
opinions amount:,350

id,author,recommendation,score,content,advantages,disadvantages,likes,dislikes,publish time,purchase time
18616837,i...d,Polecam,5.0,"Bardzo długo zastanawiałam się nad wyborem między Dysonem V11, V12 i V15 oraz nad Dreame R20, kilka dni czytałam opinie, oglądałam recenzje, oglądałam w sklepach itp. Wybór padł na Dysona V12 i to był najlepszy wybór z możliwych, obawiałam się, że na mój dom 100m² nie wystarczy baterii lub że trzeba będzie często opróżniać pojemnik (mam długowłosego psa i kota, pełno żwirku i piachu z dworu), ale nic z tych rzeczy, po odkurzeniu całego domu zostaje mi jeszcze jakieś 60% baterii i pojemnik mogę spokojnie opróżniać co 4 sprzątania, odkurzam tylko na trybie ECO i moc jest super, koci żwirek czy inne rzeczy wciąga bez najmniejszego problemu, laserowa końcówka jest świetna i tylko jej używam. Nie wybrałam pozostałych odkurzaczy ponieważ Dreame R20 podobno szybko traci moc baterii i trzeba ją wymieniać a kosztuje około 800zl w dodatku szczotka po około pół roku często nie łączy - znalazłam kilka takich przypadków, podobno jest też tak ciężki że mdleje ręka. V15 nie wybrałam ze względu na ciągłe trzymanie przycisku i wagę, podobno też jest bardzo ciężki i ręka boli, tak samo z V11 - duża waga, trzymanie przycisku. Reasumując V12 jest super lekki, zwrotny, pojemnik starcza mi na sprzątanie 100m² około 4 razy, baterii po jednym sprzątaniu zostaje mi około 60%, posiada bardzo dużo końcówek, nie trzeba trzymać przycisku. Dla mnie rewelacja, polecam!",dużo końcówek lekki poręczny przycisk zasilania wyświetlacz wytrzymała bateria zwrotny,,14,14,2024-05-01 09:19:31,
18536064,A...t,Polecam,5.0,"Długo szukałam, sporo filmików na YT o ujrzałam. Zakup super. To mój trzeci odkurzać pionowy, ale podświetlenie przy pracy odkurzacza to game changer. Polecam ten model v12. Super lekki",,,6,6,2024-03-29 11:14:23,2024-03-17 13:45:25
17516357,g...a,Polecam,5.0,"Fantastyczny sprzęt, bardzo mocny, lekki i odpowiedni do każdego domu i mieszkania",dużo końcówek poręczny przycisk zasilania wyświetlacz,,4,4,2023-05-17 10:52:54,2023-05-12 09:57:19
18499460,j...k,Polecam,4.0,Odkurzacz spełnia wymagania,dużo końcówek poręczny przycisk zasilania wyświetlacz,,1,1,2024-03-18 08:42:26,2024-03-10 15:49:13
18457506,n...2,Polecam,5.0,Produkt super,dużo końcówek lekki poręczny przycisk zasilania wyświetlacz,,1,1,2024-03-04 08:34:36,2024-02-17 16:31:32
19255075,a...r,Polecam,4.5,ok,dużo końcówek poręczny przycisk zasilania wyświetlacz,,0,0,2024-12-03 11:57:09,2024-11-27 21:27:18
16459243,l...i,Polecam,5.0,Mam w domu psa który zrzuca non stop dużo sierści. Potrzebowałem odkurzacz który sobie z tym poradzi i zarówno podłoga jak i łóżko będą czyste. Ten sobie doskonale poradził. W trybie turbo nie ma zabrudzenia którego by nie wciągnął. Końcówki są zaprojektowane w taki sposób żeby włosy i sierść się nie wplatywala. Jedyna wada to opróżnianie pojemnika na brud. Często trzeba sobie pomagać palcem i sierść która się przyczepi do zawiasów należy wyjąc ręcznie,dużo końcówek poręczny przycisk zasilania wyświetlacz,,3,3,2022-08-26 11:17:23,2022-08-21 20:00:27
19491359,m...y,Polecam,4.5,"Odkurzacz pionowy Dyson V12 Detect Slim Absolute jest takim urzadzeniem na które czekałam, jest lekki, świetnie zbiera, łatwy w obsłudze , posiada super rozwiązanie  z opróżnianiem pojemnika ze śmieciami, a szczotka z laserem może przyprawić o zawrót głowy...pokazuje z jaka ilością nieczystości zmagamy się przy odkurzaniu np. podłogi a gołym okiem wydawało się , że jest czysto. Zdecydowanie polecam , miałam juz inne odkurzacze renomowanych firm - były ok, ale ten jest rewelacyjny.",dużo końcówek poręczny przycisk zasilania wyświetlacz,,0,0,2025-03-05 09:24:58,2025-02-20 21:59:48
19356621,j...c,Polecam,4.5,"Całkiem dobre wykonanie. Moc ssania na wystarczającym poziomie. Optymalna liczba końcówek i ich funkcjonalność. Relatywnie cicha praca i niska waga produktu. 
Wyświetlanie liczby i rodzaju wciąganych śmieci - dla mnie osobiście to niepotrzebny bajer. 
W tej cenie może oczekiwałbym trochę bardziej wydajnej baterii. Te 60 min to tylko w trybie ECO, gdzie jest słabe wciąganie. Realnie w trybie auto wychodzi ok. 35 minut.",dużo końcówek lekki poręczny przycisk zasilania zwrotny,wyświetlacz wytrzymała bateria,0,0,2025-01-08 11:36:06,2024-12-31 11:55:21
19467106,j...i,Polecam,5.0,"Bardzo dobry odkurzacz. Zastanawiałem się nad Dreame. Użytkuję jednego Dysona V12 od trzech lat i do drugiego mieszkania chciałem coś tańszego. Podobał mi się Dreame Z20. Byłem w salonie, oglądałem, fajny ale jednak jak weźmie się Dysona do ręki, tym bardziej że jestem przyzwyczajony to jest różnica, jest lekki, zwrotny, pojemnik szybko się opróżnia, ładowarka na wieszaku. Wszystko jak powinno być. Sprząta pięknie.",dużo końcówek poręczny przycisk zasilania wyświetlacz,,0,0,2025-02-21 13:42:41,2025-02-15 22:57:38
