id:,66786315
name:,Lavazza Qualita Oro Ziarnista 1kg
opinions amount:,3193

id,author,recommendation,score,content,advantages,disadvantages,likes,dislikes,publish time,purchase time
16071782,j...z,Polecam,5.0,"Bardzo dobra kawa. Za takie pieniądze nie kupi nic lepszego. Czasem zdarza mi się kupić inna kawę zaciekawiony opakowaniem a później nie mogę się doczekać kiedy się ona skończy i znów  sięgnąć po Lavazze Oro :) Produkt oryginalny, kilka razy zdarzyła mi się podróba ale zakup był na portalu akcyjnym. Polecam",aromat jakość łagodna smak,,10,10,2022-05-11 19:59:58,2022-05-04 17:43:27
16709230,s...a,Polecam,5.0,Dla mnie jest zdecydowanie lepsza w smaku ale również i ma bardziej intensywny zapach. Na pewno kupię ją ponownie. Z przyjemnością polecam ◉⁠‿⁠◉,aromat jakość łagodna smak,,4,4,2022-11-03 21:36:03,2022-10-22 17:11:05
8133702,Darek,Polecam,5.0,"Co tu dużo mówić, zdecydowanie jedna z lepszych kaw na rynku, a w kategorii cena/jakość to już w ogóle miażdży. Trzeba jedynie uważać na podróbki, ktre niestety zalały rynek. Kupujcie tylko w sprawdzonych sklepach, odradzam podejrzanie tanie oferty na Allegro - czesto jest to podła lura z najniższej półki w biedrze zapakowana w opakowanie lavazza (podrobione oczywiscie)",aromat jakość opakowanie smak świeżość,,25,25,2018-07-13 06:36:35,
12787287,m...n,Polecam,5.0,"Świetny zapach ziaren i zaparzonej kawy, łagodny smak",aromat jakość smak stosunek jakości do ceny,,4,4,2020-07-10 10:52:42,2020-06-23 14:49:31
12768977,M...ł,Polecam,5.0,Bardzo dobra kawa,aromat jakość smak stosunek jakości do ceny,,2,2,2020-07-07 15:41:53,2020-06-29 09:55:32
14559976,Tomasz,Polecam,5.0,Jest ok ale bez rewelacji.,aromat jakość łagodna smak,,0,0,2021-06-05 06:49:06,2021-05-29 11:30:35
14082038,Maxim,,0.5,"Trafiłem na PODRÓBKĘ. Kawa śmierdząca ziemią, grzybem, pleśnią. Na zdjęciach po lewej podróbka po prawej pięknie pachnąca lavazza z marketu. Opakowania mają inny odcień złota. Ziarna ciemne i oleiste w podróbce, jasne i suche w oryginale.           *******       Kawa, jeśli oryginalna, znakomity smak i aromat, crema.",,aromat jakość,32,32,2021-03-09 13:14:42,
19359928,Игорь,,0.5,"Czas palenia podany na stronie produktu nie odpowiada rzeczywistości. To nieprawda, że ​​różnica wynosi 6 miesięcy. Не рекомендую, тот магазин в котором неправда(",,aromat jakość łagodna smak,0,0,2025-01-09 11:28:08,
19261106,Dariusz,,0.5,Kawa nie oryginalna. Po prawej ta co dostałem po lewej oryginalna. Nie polecam. Smak tragiczny.,,aromat jakość łagodna smak,1,1,2024-12-04 22:19:41,2024-12-02 06:45:23
17423958,m...4,,1.0,Słaba jakość produktu. Napewno nie jest to w 100% taka kawa jaka kupuje w normalnym sklepie,,aromat jakość,0,0,2023-04-20 09:41:40,2023-04-13 20:10:34
